mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,source,label
-214.72557,146.59167,-57.559147,13.728016,43.844654,47.86625,-4.7087784,-1.171529,10.499927,4.128138,7.9052877,12.339426,-10.65763,-3.6548123,-1.4688358,-7.876015,-8.233536,0.24715587,5.9625096,-13.410339,-9.618067,-8.033545,4.4036384,-6.690308,-5.012658,-0.030537225,-7.650954,-6.737453,-9.264178,0.90282446,2005.3615680135251,2188.458829226003,3178.5746138908958,0.45162675,HMRS_Scam.mp3,0
-443.42197,48.890274,-15.089679,18.719646,28.383024,25.199259,-0.87198424,3.8218179,11.683199,9.449912,5.2815795,6.2871623,-2.7289245,-0.8059829,0.10933669,0.31802198,-2.173689,-2.9726968,-0.58947617,-7.5543227,-3.656936,-4.068938,1.1521436,-5.307008,-3.4296281,0.52676046,-3.540371,-4.002305,-4.5318236,0.35563898,1232.5525571133346,1546.5964640512575,2390.3100162572255,0.44002905,HMRS_Scam.mp3,0
-198.13197,150.06009,-68.28765,21.269335,40.897835,46.394207,-10.577342,-5.324507,12.251668,9.583963,10.082293,10.923636,-8.609468,1.9655384,-5.092262,-9.454234,-3.8572085,0.9033756,6.0357976,-14.428502,-11.9645815,-11.031105,6.4368486,-6.739136,-4.5144644,0.8462775,-5.902554,-5.4550776,-11.779928,-1.9748371,2020.4113129989978,2096.0464758081434,3000.2099891618495,0.4094489,HMRS_Scam.mp3,0
-212.58876,169.50835,-44.159206,4.474679,29.168058,34.829433,-6.643362,-0.92441934,5.3752513,1.7408628,11.402722,13.097136,-9.620733,1.6520153,-1.9509865,-8.455483,-5.8117166,5.839831,9.763249,-17.655663,-17.542051,-10.778684,8.046557,-7.1510344,-5.6441007,1.2188598,-5.6674094,-6.75906,-10.066304,2.4390168,1768.7364017269126,2084.0264750530873,2801.4323857478325,0.49097648,HMRS_Scam.mp3,0
-239.29019,153.3626,-33.37071,19.14049,31.585636,41.157257,-6.183635,3.2923148,7.930239,11.8021755,10.8008175,11.456464,-8.359523,-1.6738063,-6.8578453,-8.282635,-2.373078,0.74424505,5.1777024,-16.9369,-10.903745,-8.543692,5.412077,-8.069476,-3.7429473,-0.42245844,-7.656835,-6.4776616,-8.798122,1.7371587,1732.5351488278166,2424.3046295620943,2976.0629290101156,0.4044263,HMRS_Scam.mp3,0
-179.94423,144.32033,-66.34786,29.011242,35.034367,38.70855,-5.5819817,2.5295517,11.059211,3.1425323,4.1362767,10.980221,-10.385795,-2.6702294,-6.2417626,-4.6233525,0.2145747,-2.3230608,3.83572,-15.187117,-9.18917,-6.7850823,3.3123016,-9.152112,-6.1201367,-0.40397727,-6.207833,-5.5502806,-9.59568,-2.7328095,2300.9240990614794,2058.537331242557,3518.3760273663293,0.45622295,HMRS_Scam.mp3,0
-207.48663,165.09573,-54.679016,4.804669,34.82566,39.729214,-9.701906,-2.530839,11.420681,8.899547,8.238537,4.5422564,-10.865271,-0.7796408,-9.966167,-7.1092143,3.6149614,4.199247,-0.20657887,-19.158249,-9.70544,-7.101142,5.190753,-6.5971346,-3.4428947,-0.7059264,-11.556355,-9.87427,-6.8199115,2.2040708,1795.7339703979192,2039.2158850465855,2832.425261921965,0.41566148,HMRS_Scam.mp3,0
-1120.5759,-0.7567855,0.3733121,-0.06282744,0.52531797,0.037424628,0.14054997,-0.00038341014,-0.12093362,0.020945732,-0.09809914,0.0678739,0.090212815,0.26753932,-0.09413264,0.011457546,-0.14901094,0.013127903,-0.057516996,0.045334745,-0.016023993,0.0064267684,0.0020130465,0.04848188,0.06186886,-0.12845336,-0.065463744,-0.08997973,0.0076013026,-0.07064248,502.6561437224294,239.6689886836066,763.8685987174855,0.0011886932,HMRS_Scam.mp3,0
-235.82455,153.82571,-51.122055,20.761168,35.664032,34.870087,-10.379152,4.436341,9.679898,-1.4335848,3.9220824,14.451022,-6.2646427,-1.07034,-4.3899117,-7.2746167,-6.5826297,1.565416,7.989425,-13.725621,-10.504748,-12.404692,3.267087,-8.256559,-2.4802854,2.4299994,-5.9589243,-5.429967,-9.815571,1.1202574,1993.931779285339,2267.651279909877,3539.0379448157514,0.42120576,HMRS_Scam.mp3,0
-199.08607,168.17476,-61.491997,13.866031,35.400196,40.01596,-11.827066,-0.72736233,5.984322,1.8129705,7.391394,12.158545,-9.115343,-2.394232,-6.2068367,-8.748889,-5.1070805,2.7772691,8.1698475,-14.107504,-9.750668,-9.975248,5.9848576,-8.552521,-5.1120796,-1.0940654,-9.184318,-6.456228,-12.254773,-1.0679228,1878.1102875270958,2052.467977304434,2992.617356846098,0.41445467,HMRS_Scam.mp3,0
-221.24652,167.38231,-46.78946,17.309254,37.50375,39.466194,-13.9729805,-1.3218806,6.453671,5.19574,5.5535045,10.759334,-11.712085,-1.6530566,-2.5516984,-6.835754,-6.361204,3.8392024,10.432306,-16.897997,-12.714412,-11.359998,8.867577,-8.970692,-6.7848177,0.79915696,-6.2377915,-5.7947,-12.137987,1.488961,1764.155167483907,2086.2825279238614,2778.530019418353,0.38780174,HMRS_Scam.mp3,0
-229.16817,156.28922,-47.48004,8.467974,33.645454,38.51944,1.4657582,10.91883,7.900679,-1.1568218,4.7997236,14.078907,-3.058232,-0.7951616,-6.8844066,-8.111007,-4.4355993,2.6579807,5.2739916,-16.304663,-10.578254,-8.625268,5.037681,-9.196568,-4.8224483,0.16982742,-8.305628,-6.8656282,-10.3011055,1.1479456,1822.265438359428,2296.61345922474,3091.6949850975434,0.45009512,HMRS_Scam.mp3,0
-379.7534,83.85776,-23.035915,4.060998,15.982024,15.228748,-4.269472,4.338839,5.7986994,-0.82012606,1.6763126,8.692655,-1.6965648,-1.088235,-4.0640087,-2.7044775,-0.3895873,1.3841013,2.8472064,-8.174962,-5.7807136,-6.0092096,1.9080355,-3.6013594,-1.4355968,-0.8395944,-5.2207417,-2.727051,-4.8874435,-0.7100374,987.8752562177482,1199.1826614602728,1778.7919413836705,0.42592868,HMRS_Scam.mp3,0
